ID;Name;Units;Rounded To;Minimum Value;Associated With;Sign;Converter;Single Effect;Plural Effect
34;Enable Breathing;Duration (hours);1;0.1;Choke;-1;0.1;can go without oxygen for %.1f hours;can go without oxygen for %.1f hours
35;Enrage;Points;0;1;Calm;-1;0.6;is Enraged for %d points;are Enraged for %d points
36;Euphoria;Duration (hours);1;0.2;Euphoria;1;0.1;is impossibly happy for %.1f hours;are impossibly happy for %.1f hours
37;Fire Resistance;Percentage;0;5;Heat;-1;1;is %d%% resistant to Fire Damage for 1d4 hours;are %d%% resistant to Fire Damage for 1d4 hours
38;Friendly;Persuasion Increase;0;1;Like;1;0.1;believes the brewer is their friend. Brewer gets %d Persuasion bonus against target;believe the brewer is their friend. Brewer get %d Persuasion bonus against target
39;Glow;Radius (m);1;0.3;Glow;1;0.5;glows brightly, illuminating a region %.1fm in radius;glow brightly, illuminating a region %.1fm in radius
40;Good Luck;Duration (hours);1;0.1;Luck;1;0.1;gets Check Advantage for %.1f hours;get Check Advantage for %.1f hours
41;Grow;Percentage larger;0;5;Change Size;1;1;gets %d%% larger for 1d4 hours;get %d%% larger for 1d4 hours
42;Hatred;Persuasion decrease;0;1;Like;-1;0.6;believes the brewer is their enemy. Brewer gets %d Persuasion penalty against target;Believe the brewer is their enemy. Brewer get %d Persuasion penalty against target
43;Heavy;Percentage larger;0;5;Change Weight;1;1;gets %d%% heavier for 1d4 hours;get %d%% heavier for 1d4 hours
44;Increase AC;Points;0;1;Stoneskin;1;0.333;has AC increased by %d points;have AC increased by %d points
45;Increase Dexterity;Points;0;1;Steady Hand;1;0.1;has Dexterity increased by %d points for 1d4 hours;have Dexterity increased by %d points for 1d4 hours
46;Increase Intelligence;Points;0;1;Concentrate;1;0.1;has Intelligence increased by %d points for 1d4 hours;have Intelligence increased by %d points for 1d4 hours
47;Increase Perception;Points;0;1;Awareness;1;0.1;has Perception increased by %d points for 1d4 hours;have Perception increased by %d points for 1d4 hours
48;Increase Speed;Points;0;1;Speed;1;0.1;has Speed increased by %d points for 1d4 hours;have Speed increased by %d points for 1d4 hours
49;Increase Stealth;Points;0;1;Stealthy;1;0.1;has Stealth increased by %d points for 1d4 hours;have Stealth increased by %d points for 1d4 hours
50;Increase Strength;Points;0;1;Strengthen;1;0.1;has Strength increased by %d points for 1d4 hours;have Strength increased by %d points for 1d4 hours
51;Increase Willpower;Willpower increase;0;1;Brave;1;0.1;has Willpower increased by %d points for 1d4 hours;have Willpower increased by %d points for 1d4 hours
52;Insomnia;Duration (hours);1;5;Insomnia;0;0.1;cannot sleep for %d days;cannot sleep for %d days
53;Itch;Duration (hours);1;0.3;Itch;1;0.1;skin begins to itch uncontrollably for %d hours. Does 1d4 damage per hour.;begin to itch uncontrollably for %d hours. Does 1d4 damage per hour.
54;Lighten;Percentage smaller;0;5;Change Weight;-1;1;gets %d%% lighter for 1d4 hours;get %d%% lighter for 1d4 hours
55;Lust;Duration (hours);1;0.2;Lust;1;0.1;lusts after the brewer for %d hours;lust after the brewer for %d hours
56;Magic Resistance;Percentage;0;5;Magic;-1;1;is %d%% resistant to all magic for 1d4 hours;are %d%% resistant to all magic for 1d4 hours
57;Magic Weakness;Percentage;0;5;Magic;1;1;is %d%% weak to all magic for 1d4 hours;are %d%% weak to all magic for 1d4 hours
58;Melancholy;Duration (hours);1;0.2;Euphoria;-1;0.1;is impossibly sad for %.1f hours;are impossibly sad for %.1f hours
59;Neutralise Acid;Damage;0;1;Acid;-1;0.6;is protected from %d acid damage for 1d6 hours;are protected from %d acid damage for 1d6 hours
60;Poison Damage;Points;0;1;Heal;-1;0.4;suffers %d poison damage;suffer %d poison damage
61;Poison Resistance;Percentage;0;5;Antidote;1;0.9;is %d%% resistant to Poison Damage for 1d4 hours, or may remove up to the same percentage of previously acquired potion effect;are %d%% resistant to Poison Damage for 1d4 hours, or may remove up to the same percentage of previously acquired potion effect
62;Poison Weakness;Percentage;0;5;Antidote;-1;1;is %d%% weak to Poison Damage for 1d4 hours;are %d%% weak to Poison Damage for 1d4 hours
63;Polyjuice;Duration (minutes);0;2;Change Form;0;1;transforms into another being for %d minutes, if their DNA is added. Otherwise, transform randomly.;transform into another being for %d minutes, if their DNA is added. Otherwise, transform randomly.
64;Remembering;Points;0;1;Memory;1;0.6;gets %d bonus on memory checks;get %d bonus on memory checks
65;Repel Animal;Points;0;1;AnimalAttract;-1;0.6;gets %d penalty on animal persuasion checks for 1 day;get %d penalty on animal persuasion checks for 1 day
66;Restore FP;Points;0;1;Invigorate;1;0.4;recovers %d FP points;recover %d FP points
67;Restore HP;Points;0;1;Heal;1;0.2;recovers %d HP points;recover %d HP points
68;Shrink;Percentage smaller;0;5;Change Size;-1;1;becomes %d%% smaller for 1d4 hours;become %d%% smaller for 1d4 hours
69;Silence;Duration (hours);1;0.1;Babble;-1;0.1;cannot talk for %d hours;cannot talk for %d hours
70;Sleep;Duration (hours);1;0.4;Sleep;1;0.5;falls asleep for %d hours;fall asleep for %d hours
71;Smell(bad);Severity / 10;1;0.5;Smell;1;0.1;smells good ($f/10) for 1d6 hours. Gains +2 persuasion bonus during that time.;smell good ($f/10) for 1d6 hours. Gain +2 persuasion bonus during that time.
72;Smell(good);Severity / 10;1;0.5;Smell;-1;0.1;smells bad (%.1f/10) for 1d6 hours. Suffers -2 persuasion penalty during that time;smell bad (%.1f/10) for 1d6 hours. Suffer -2 persuasion penalty during that time
73;Soothe Skin;Points;0;1;Itch;-1;0.6;protects against %d of itching damage, and prevents itching effect;protected against %d of itching damage, and prevents itching effect
75;Uglify;CHR decrease;0;1;Beautify;-1;0.1;becomes ugly and gets %d CHR penalty for 2 hours;become ugly and get %d CHR penalty for 2 hours
76;Vomit;Severity /5;1;0.5;Lust;-1;0.05;vomits uncontrollably (%d/5) for 1d4 hours;vomit uncontrollably (%d/5) for 1d4 hours
77;Wolfsbane;Radius (m);1;0.5;Wolfsbane;1;0.1;Repels werewolves in a %.1fm radius;Repel werewolves in a %.1fm radius
